Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1756133100000.0,3362.9,3362.9,3362.08,3362.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756133400000.0,3362.16,3362.9,3362.11,3362.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756133700000.0,3362.89,3362.9,3362.41,3362.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756134000000.0,3362.9,3362.9,3362.26,3362.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756134300000.0,3362.64,3362.9,3362.64,3362.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756134600000.0,3362.9,3364.64,3362.76,3364.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756134900000.0,3364.63,3364.63,3363.0,3363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756135200000.0,3363.3,3363.3,3363.0,3363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756135500000.0,3363.3,3363.32,3363.03,3363.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756135800000.0,3363.07,3363.27,3361.12,3362.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756136100000.0,3362.39,3363.31,3361.45,3361.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756136400000.0,3361.85,3362.57,3359.65,3361.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756136700000.0,3361.16,3363.21,3360.28,3362.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756137000000.0,3362.48,3363.59,3361.6,3361.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756137300000.0,3361.6,3362.48,3360.87,3361.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756137600000.0,3361.36,3362.46,3360.75,3362.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756137900000.0,3362.37,3362.37,3360.3,3360.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756138200000.0,3360.3,3362.11,3360.29,3362.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756138500000.0,3362.11,3362.5,3361.1,3362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756138800000.0,3362.5,3362.5,3361.24,3361.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756139100000.0,3361.24,3362.75,3361.24,3362.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756139400000.0,3362.75,3363.03,3362.28,3362.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756139700000.0,3362.28,3362.81,3360.72,3361.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756140000000.0,3361.31,3361.31,3360.31,3361.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756140300000.0,3361.31,3361.61,3361.17,3361.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756140600000.0,3361.38,3363.0,3361.17,3362.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
