Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1758269820000.0,3664.12,3664.12,3660.89,3663.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758269880000.0,3663.96,3663.96,3661.53,3662.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758269940000.0,3662.98,3663.48,3662.02,3662.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270000000.0,3662.51,3665.59,3662.49,3662.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270060000.0,3662.49,3665.92,3662.49,3665.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270120000.0,3665.92,3667.0,3665.43,3666.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270180000.0,3666.99,3666.99,3663.21,3665.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270240000.0,3665.92,3666.96,3665.44,3666.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270300000.0,3666.95,3666.95,3662.49,3664.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270360000.0,3664.46,3666.04,3661.86,3665.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270420000.0,3665.03,3666.07,3662.12,3665.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270480000.0,3665.44,3666.07,3665.4,3665.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270540000.0,3665.44,3665.94,3664.46,3665.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270600000.0,3665.8,3667.4,3664.49,3667.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270660000.0,3667.4,3667.66,3666.89,3666.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270720000.0,3666.9,3668.61,3663.97,3664.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270780000.0,3664.74,3668.45,3664.74,3668.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270840000.0,3668.45,3668.94,3666.9,3668.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270900000.0,3668.94,3669.09,3665.76,3665.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758270960000.0,3665.76,3669.06,3665.07,3667.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271020000.0,3667.88,3668.61,3665.17,3668.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271080000.0,3668.46,3668.46,3664.19,3667.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271140000.0,3667.62,3667.62,3665.92,3666.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271200000.0,3666.89,3666.93,3663.16,3665.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271260000.0,3665.38,3667.71,3665.38,3667.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271320000.0,3667.71,3668.06,3664.81,3664.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271380000.0,3664.81,3668.4,3664.81,3668.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271440000.0,3668.15,3668.15,3664.66,3667.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271500000.0,3667.38,3668.44,3666.91,3667.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271560000.0,3667.39,3668.46,3667.21,3667.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271620000.0,3667.5,3667.8,3667.39,3667.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271680000.0,3667.8,3667.8,3667.39,3667.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271740000.0,3667.39,3669.03,3665.32,3666.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271800000.0,3666.89,3667.39,3666.41,3667.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271860000.0,3667.39,3667.88,3666.9,3667.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271920000.0,3667.88,3668.97,3666.04,3667.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758271980000.0,3667.39,3668.63,3664.7,3665.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758272040000.0,3665.44,3668.33,3664.96,3668.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
