timestamp,bid_price,bid_size,ask_price,ask_size
2025-09-18T19:31:03.204476,0.67,4159.6,0.67393,1097.2
2025-09-18T19:31:03.497957,0.67,4159.6,0.67393,1096.8
2025-09-18T19:31:03.498985,0.67,4159.6,0.67393,956.8
2025-09-18T19:31:03.501296,0.67,4159.6,0.67393,956.8
2025-09-18T19:31:03.516897,0.67,4159.6,0.67393,1095.8
2025-09-18T19:31:03.524523,0.67,4159.6,0.67393,1063.7
2025-09-18T19:31:03.537978,0.67,4159.6,0.67393,1050.3
2025-09-18T19:31:03.553130,0.67,4159.6,0.67662,2194.4
2025-09-18T19:31:03.553996,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.567576,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.783453,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.783672,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.783981,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.784869,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.853825,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.961786,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.963949,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:03.965100,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:04.005913,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:04.015694,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:06.106358,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:06.687625,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:06.691215,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:06.695315,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:07.341152,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:07.449749,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:07.452787,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:07.525459,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:07.528032,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:07.530939,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:08.433139,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:08.810847,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:08.814161,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:08.817622,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:09.704136,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:09.785606,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:09.796960,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:09.797311,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:09.805667,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:09.806292,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:10.266617,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:10.267780,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:10.302855,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:10.732698,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:10.733079,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.182892,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.217245,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.309836,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.310411,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.637314,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.644314,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.653505,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.709396,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:11.714105,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:12.237797,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:12.474229,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:12.475603,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:12.478800,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:12.752281,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:12.757402,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:12.763655,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.129341,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.141231,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.142016,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.155952,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.190622,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.196581,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.198671,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.627301,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.628220,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.634392,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.643063,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:13.666949,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:14.577947,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:14.582394,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:14.586078,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.199998,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.208038,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.213492,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.374164,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.382988,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.388056,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.473328,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.617738,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.625105,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.627939,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.630759,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:15.975277,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:16.150679,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:16.263141,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:16.302669,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:16.310270,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:16.877316,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.016107,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.024296,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.027342,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.435755,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.680705,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.685292,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.692698,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.699933,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.714920,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.784130,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.787722,0.67,4159.6,0.67696,2000.0
2025-09-18T19:31:17.796376,0.67,4159.6,0.67696,2000.0
